Testing...
******************************************
Name,	TestRuns,	Thread #,	Demensions,	 AverageTime,
GoL1D,	10,	2,	1000,	0.007991, 
GoL1D,	10,	2,	2500,	0.049859, 
GoL1D,	10,	2,	5000,	0.199825, 
GoL1D,	10,	4,	1000,	0.004009, 
GoL1D,	10,	4,	2500,	0.025302, 
GoL1D,	10,	4,	5000,	0.100848, 
GoL1D,	10,	8,	1000,	0.002214, 
GoL1D,	10,	8,	2500,	0.013872, 
GoL1D,	10,	8,	5000,	0.055400, 
GoL1D,	10,	16,	1000,	0.001165, 
GoL1D,	10,	16,	2500,	0.007160, 
GoL1D,	10,	16,	5000,	0.028576, 
GoL1D,	10,	32,	1000,	0.001254, 
GoL1D,	10,	32,	2500,	0.007435, 
GoL1D,	10,	32,	5000,	0.027620, 
GoL1D,	10,	60,	1000,	0.001231, 
GoL1D,	10,	60,	2500,	0.007101, 
GoL1D,	10,	60,	5000,	0.026622, 
Vector2D,	10,	2,	1000,	0.000828, 
Vector2D,	10,	2,	2000,	0.002901, 
Vector2D,	10,	2,	5000,	0.017541, 
Vector2D,	10,	4,	1000,	0.002112, 
Vector2D,	10,	4,	2000,	0.004209, 
Vector2D,	10,	4,	5000,	0.014129, 
Vector2D,	10,	8,	1000,	0.002961, 
Vector2D,	10,	8,	2000,	0.005317, 
Vector2D,	10,	8,	5000,	0.018330, 
Vector2D,	10,	16,	1000,	0.004886, 
Vector2D,	10,	16,	2000,	0.008612, 
Vector2D,	10,	16,	5000,	0.024068, 
Vector2D,	10,	32,	1000,	0.044169, 
Vector2D,	10,	32,	2000,	0.103473, 
Vector2D,	10,	32,	5000,	0.244340, 
Vector2D,	10,	60,	1000,	0.059610, 
Vector2D,	10,	60,	2000,	0.125086, 
Vector2D,	10,	60,	5000,	0.320942, 
