Testing...
******************************************
Name,	TestRun,	Thread #,	Demensions,	 AverageTime,
GoL2D,	10,	2,	1000,	0.015314, 
GoL2D,	10,	2,	2500,	0.095872, 
GoL2D,	10,	2,	5000,	0.383946, 
GoL2D,	10,	4,	1000,	0.007718, 
GoL2D,	10,	4,	2500,	0.048830, 
GoL2D,	10,	4,	5000,	0.193148, 
GoL2D,	10,	8,	1000,	0.004247, 
GoL2D,	10,	8,	2500,	0.027094, 
GoL2D,	10,	8,	5000,	0.106754, 
GoL2D,	10,	16,	1000,	0.002203, 
GoL2D,	10,	16,	2500,	0.014242, 
GoL2D,	10,	16,	5000,	0.056240, 
GoL2D,	10,	32,	1000,	0.003824, 
GoL2D,	10,	32,	2500,	0.016872, 
GoL2D,	10,	32,	5000,	0.057729, 
GoL2D,	10,	60,	1000,	0.003438, 
GoL2D,	10,	60,	2500,	0.015930, 
GoL2D,	10,	60,	5000,	0.055845, 
