Testing...
******************************************
Name,	TestRuns,	Thread #,	Demensions,	 AverageTime,
Vector1D,	10,	2,	1000,	0.000274, 
Vector1D,	10,	2,	5000,	0.009811, 
Vector1D,	10,	2,	10000,	0.044761, 
Vector1D,	10,	4,	1000,	0.000202, 
Vector1D,	10,	4,	5000,	0.006232, 
Vector1D,	10,	4,	10000,	0.027713, 
Vector1D,	10,	8,	1000,	0.000172, 
Vector1D,	10,	8,	5000,	0.004203, 
Vector1D,	10,	8,	10000,	0.018577, 
Vector1D,	10,	16,	1000,	0.000127, 
Vector1D,	10,	16,	5000,	0.004260, 
Vector1D,	10,	16,	10000,	0.014928, 
Vector1D,	10,	32,	1000,	0.000243, 
Vector1D,	10,	32,	5000,	0.004203, 
Vector1D,	10,	32,	10000,	0.014936, 
Vector1D,	10,	60,	1000,	0.000289, 
Vector1D,	10,	60,	5000,	0.004297, 
Vector1D,	10,	60,	10000,	0.014252, 
