Testing...
******************************************
Name,	TestRuns,	Thread #,	Demensions,	 AverageTime,
VectorSync,	10,	2,	1000,	0.000502, 
VectorSync,	10,	2,	5000,	0.016069, 
VectorSync,	10,	2,	10000,	0.064709, 
VectorSync,	10,	4,	1000,	0.000306, 
VectorSync,	10,	4,	5000,	0.016092, 
VectorSync,	10,	4,	10000,	0.064179, 
VectorSync,	10,	8,	1000,	0.000483, 
VectorSync,	10,	8,	5000,	0.016036, 
VectorSync,	10,	8,	10000,	0.064752, 
VectorSync,	10,	16,	1000,	0.000307, 
VectorSync,	10,	16,	5000,	0.016095, 
VectorSync,	10,	16,	10000,	0.065515, 
VectorSync,	10,	32,	1000,	0.000309, 
VectorSync,	10,	32,	5000,	0.016089, 
VectorSync,	10,	32,	10000,	0.063823, 
VectorSync,	10,	60,	1000,	0.000484, 
VectorSync,	10,	60,	5000,	0.016019, 
VectorSync,	10,	60,	10000,	0.064859, 
